52	25
52	26
51	26
51	27
50	27
50	28
49	28
49	29
48	29
48	30
47	30
47	31
46	31
46	32
46	33
46	34
46	35
46	36
46	37
46	38
46	39
46	40
46	41
46	42
46	43
46	44
46	45
46	46
46	47
46	48
46	49
46	50
46	51
46	52
46	53
46	54
46	55
46	56
46	57
46	58
46	59
46	60
46	61
46	62
46	63
46	64
46	65
46	66
46	67
46	68
46	69
46	70
46	71
46	72
46	73
46	74
46	75
46	76
46	77
46	78
46	79
46	80
45	80
45	81
44	81
44	82
43	82
43	83
42	83
42	84
41	84
41	85
40	85
39	85
39	86
38	86
37	86
36	86
35	86
34	86
33	86
32	86
31	86
30	86
29	86
28	86
27	86
26	86
25	86
24	86
23	86
22	86
21	86
20	86
19	86
18	86
17	86
16	86
15	86
14	86
13	86
12	86
11	86
11	87
11	88
11	89
11	90
11	91
11	92
12	92
13	92
14	92
15	92
16	92
17	92
18	92
19	92
20	92
21	92
22	92
23	92
24	92
25	92
26	92
27	92
28	92
29	92
30	92
31	92
32	92
33	92
34	92
35	92
36	92
37	92
38	92
39	92
40	92
41	92
42	92
43	92
44	92
45	92
46	92
47	92
48	92
49	92
50	92
51	92
52	92
53	92
54	92
55	92
56	92
57	92
58	92
59	92
60	92
61	92
62	92
63	92
64	92
65	92
66	92
67	92
68	92
69	92
70	92
71	92
72	92
73	92
74	92
75	92
76	92
77	92
78	92
79	92
80	92
81	92
82	92
83	92
84	92
85	92
86	92
87	92
88	92
89	92
89	91
89	90
89	89
89	88
89	87
89	86
88	86
87	86
86	86
85	86
84	86
83	86
82	86
81	86
80	86
79	86
78	86
77	86
76	86
75	86
74	86
73	86
72	86
71	86
70	86
69	86
68	86
67	86
66	86
65	86
64	86
63	86
62	86
61	86
61	85
60	85
59	85
59	84
58	84
58	83
57	83
57	82
56	82
56	81
55	81
55	80
54	80
54	79
54	78
54	77
54	76
54	75
54	74
54	73
54	72
54	71
54	70
54	69
54	68
54	67
54	66
54	65
54	64
54	63
54	62
54	61
54	60
54	59
54	58
54	57
54	56
54	55
54	54
54	53
54	52
54	51
54	50
54	49
54	48
54	47
54	46
54	45
54	44
54	43
54	42
54	41
54	40
54	39
54	38
54	37
54	36
54	35
54	34
54	33
54	32
54	31
54	30
54	29
54	28
54	27
54	26
54	25
53	25
52	25
